num,width,height
0,8.05,5.81
1,1.20,8.00
2,15.60,13.40
3,19.52,14.21
4,30.00,24.12
5,45.82,23.24
6,23.28,5.09
7,8.00,0.00
8,7.58,30.81
9,5.69,13.14
10,8.32,4.16
11,4.71,10.54
12,18.42,18.81
13,62.30,25.61
14,4.00,11.00
15,118.68,25.29
16,21.15,7.42
17,9.49,13.91
18,13.66,49.57
19,19.99,36.23
20,1.63,8.60
21,4.00,8.00
22,11.00,10.00
23,26.74,77.16
24,80.60,21.07
25,22.42,12.57
26,12.52,3.58
27,5.00,11.00
28,7.00,9.00
29,0.66,8.22
30,18.28,24.10
31,3.90,9.22
32,15.00,11.00
33,14.55,24.01
34,6.00,8.00
35,42.43,17.24
36,23.74,32.01
37,14.24,22.86
38,5.27,10.82
39,3.91,12.53
40,5.55,9.98
41,8.63,8.24
42,38.27,21.09
43,9.45,15.23
44,9.46,22.98
45,40.65,21.90
46,8.00,9.00
47,2.83,8.49
48,11.68,2.34
49,4.48,9.47
50,21.00,15.00
51,6.00,9.00
52,2.00,10.00
53,8.06,1.49
54,10.70,27.74
55,4.33,15.23
56,33.79,17.84
57,5.66,16.26
58,31.08,57.10
59,17.44,10.29
60,71.71,33.73
61,12.48,8.17
62,22.93,9.78
63,3.00,8.00
64,28.00,19.00
65,6.00,11.00
66,4.11,8.85
67,8.94,12.07
68,21.92,16.26
69,5.96,38.05
70,17.36,8.64
71,14.00,6.00
72,16.16,7.98
73,3.24,26.81
74,9.19,14.14
75,15.21,25.46
76,17.08,4.46
77,6.00,8.00
78,15.00,10.00
79,5.94,8.73
80,24.02,10.56
81,8.49,2.83
82,1.20,11.15
83,12.87,40.73
84,10.00,12.00
85,22.79,38.15
86,13.42,5.81
87,0.97,8.00
88,11.00,1.00
89,31.30,58.58
90,42.00,12.47
91,10.62,13.43
92,9.00,9.00
93,16.80,8.40
94,10.29,17.44
95,14.00,12.00
96,9.90,4.95
97,1.75,11.40
98,7.64,10.47
99,61.03,20.69
100,13.42,26.05
101,9.84,19.50
102,8.38,15.62
103,14.86,31.94
104,13.10,27.34
105,42.83,85.63
106,1.79,15.65
107,14.76,11.18
108,12.04,10.37
109,8.00,7.00
110,8.85,9.49
111,23.00,13.00
112,8.00,1.00
113,116.39,68.91
114,15.26,16.62
115,10.49,22.97
116,16.00,16.00
117,15.00,19.00
118,88.54,28.39
119,51.22,11.04
120,11.05,0.00
121,12.85,24.01
122,26.16,16.97
123,8.71,5.92
124,8.00,10.00
125,7.00,18.00
126,15.21,8.05
127,13.59,10.78
128,4.92,9.39
129,6.10,19.14
130,15.00,15.20
131,0.82,8.54
132,5.46,11.16
133,4.95,8.49
134,16.26,15.56
135,12.57,20.88
136,8.54,5.57
137,10.00,4.00
138,2.57,12.29
139,6.00,9.00
140,5.58,11.16
141,12.04,5.25
142,9.00,16.00
143,8.00,5.00
144,13.00,12.00
145,23.85,23.57
146,18.09,63.69
147,22.78,15.40
148,5.14,8.75
149,10.05,7.81
150,13.42,6.71
151,14.00,8.00
152,4.92,8.94
153,43.40,17.35
154,37.00,17.00
155,18.00,21.00
156,33.50,24.58
157,10.67,3.64
158,10.77,4.09
159,2.30,10.44
160,16.26,3.54
161,12.00,7.00
162,14.00,7.00
163,10.16,2.34
164,25.86,54.79
165,12.02,4.24
166,22.80,24.89
167,6.71,8.05
168,17.47,4.44
169,26.00,15.00
170,36.75,46.42
171,17.22,15.28
172,72.35,16.64
173,9.80,5.69
174,12.04,4.76
175,22.81,13.86
176,28.27,14.93
177,12.77,8.10
178,27.77,16.66
179,14.00,13.00
180,1.77,9.41
181,10.00,14.00
182,7.00,13.00
183,18.44,7.68
184,12.25,22.51
185,6.00,16.00
186,3.15,16.73
187,7.76,13.10
188,6.31,9.94
189,12.00,14.00
190,9.54,11.18
191,8.00,9.00
192,83.05,43.37
193,12.64,26.56
194,7.00,9.00
195,3.95,21.92
196,24.00,7.00
197,18.84,43.27
198,25.89,18.43
199,14.28,17.85
200,10.54,6.10
201,20.22,4.53
202,36.81,70.50
203,1.87,8.43
204,3.49,12.44
205,11.00,12.00
206,10.29,8.50
207,5.75,8.22
208,10.65,12.64
209,9.92,17.12
210,3.71,14.11
211,8.00,14.00
212,2.67,16.97
213,29.00,22.00
214,21.82,17.71
215,8.05,3.58
216,10.00,8.00
217,10.81,5.94
218,2.75,14.12
219,16.13,39.21
220,13.83,14.33
221,9.00,4.00
222,9.00,9.00
223,34.76,46.30
224,15.00,10.00
225,1.52,8.54
226,4.85,8.25
227,9.00,23.00
228,8.49,4.24
229,33.65,13.15
230,8.00,5.00
231,9.00,12.00
232,11.70,25.44
233,17.22,37.67
234,22.05,12.08
235,83.76,34.98
236,39.64,124.62
237,10.80,30.80
238,12.33,24.50
239,21.09,14.14
240,8.54,10.03
241,9.98,5.82
242,9.43,1.80
243,19.40,9.86
244,24.82,23.48
245,3.81,14.71
246,2.85,8.22
247,6.69,12.81
248,32.93,42.46
249,13.00,16.00
250,3.80,9.22
251,5.21,9.22
252,8.06,3.95
253,3.00,8.00
254,13.34,9.22
255,24.02,68.23
256,14.85,11.31
257,2.79,10.05
258,1.96,10.39
259,51.08,28.62
260,39.81,19.79
261,5.83,12.00
262,7.00,11.00
263,17.38,36.64
264,16.92,30.76
265,17.95,4.19
266,7.45,12.75
267,5.70,19.07
268,14.43,49.45
269,16.76,7.59
270,5.59,15.03
271,71.12,37.77
272,17.71,11.38
273,41.92,13.65
274,15.41,2.40
275,5.00,8.00
276,9.39,7.60
277,37.74,42.55
278,3.16,8.85
279,8.54,1.11
280,18.27,21.51
281,22.67,34.53
282,8.83,5.49
283,14.00,8.00
284,9.43,17.12
285,34.70,44.34
286,38.97,76.62
287,16.73,52.35
288,35.58,17.56
289,19.92,5.70
290,13.58,5.09
291,24.75,13.44
292,14.23,9.80
293,13.86,22.36
294,11.04,4.84
295,16.74,10.67
296,14.00,5.00
297,13.00,19.00
298,9.90,4.95
299,8.75,1.87
300,42.49,28.62
301,14.00,10.00
302,10.00,2.60
303,13.00,16.00
304,29.10,20.56
305,16.97,22.63
306,15.12,8.55
307,14.14,7.78
308,9.00,5.00
309,5.77,15.11
310,16.80,27.30
311,12.97,2.24
312,18.63,40.36
313,80.36,27.00
314,10.05,3.88
315,4.00,13.00
316,3.81,14.32
