num,width,height
0,10.49,4.35
1,4.00,4.00
2,71.80,15.23
3,55.49,14.78
4,7.59,3.79
5,3.33,15.30
6,8.50,4.02
7,12.59,6.29
8,3.00,3.00
9,9.49,5.06
10,8.00,10.00
11,4.00,9.00
12,5.00,5.00
13,6.67,11.18
14,4.00,2.00
15,4.11,0.95
16,16.64,6.93
17,7.07,3.54
18,3.00,2.00
19,4.12,6.86
20,4.00,4.00
21,26.52,22.73
22,2.00,3.00
23,15.46,8.25
24,0.00,0.00
25,12.02,18.38
26,8.00,12.00
27,17.83,34.61
28,11.00,5.00
29,50.98,15.03
30,25.00,5.00
31,1.00,3.00
32,3.20,5.80
33,8.54,6.64
34,33.01,2.77
35,23.00,15.00
36,6.66,5.27
37,19.77,11.60
38,36.09,12.24
39,5.00,1.00
40,7.00,4.00
41,26.75,10.12
42,9.00,8.00
43,7.14,9.83
44,13.34,4.80
45,8.61,9.39
46,12.33,21.50
47,5.06,8.22
48,4.00,0.00
49,4.00,0.00
50,5.00,7.00
51,7.65,3.53
52,19.68,41.13
53,8.00,3.00
54,3.00,5.00
55,9.42,10.23
56,10.00,17.00
57,2.24,4.92
58,10.29,7.16
59,9.00,4.00
60,22.45,7.22
61,22.00,13.00
62,10.00,11.00
63,30.92,43.10
64,10.88,36.73
65,3.00,7.00
66,24.45,15.28
67,3.00,5.00
68,10.00,9.00
69,0.89,6.26
70,3.54,0.71
71,10.40,8.40
72,24.65,29.89
73,3.00,3.00
74,3.61,0.55
75,12.49,20.77
76,36.83,39.02
77,5.09,9.94
78,23.00,11.00
79,14.21,4.69
80,9.90,11.31
81,5.38,0.95
82,12.02,13.44
83,5.00,4.00
84,5.00,8.00
85,0.71,1.41
86,25.18,4.59
87,1.00,0.00
88,8.00,5.00
89,10.00,10.00
90,8.05,12.07
91,11.00,11.00
92,33.39,13.08
93,11.09,7.77
94,11.00,12.00
95,34.15,15.62
96,0.00,0.00
97,1.39,12.48
98,3.00,9.00
99,0.00,0.00
100,3.00,6.00
101,10.81,23.48
102,3.00,4.00
103,7.07,4.24
104,9.00,6.00
105,12.00,7.00
106,10.46,12.44
107,6.00,8.00
108,3.00,4.00
109,3.00,15.00
110,3.39,15.24
111,35.25,21.37
112,10.00,23.00
113,11.86,4.65
114,2.83,6.36
115,10.00,11.00
116,18.66,12.33
